Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
2024-02-17T12:00:00,0.01,-0.02,9.81,0.5,-0.1,0.2,30,-60,50
2024-02-17T12:00:01,0.02,-0.01,9.81,0.4,0.0,0.1,31,-59,49
2024-02-17T12:00:02,0.01,0.0,9.81,0.5,0.1,0.0,32,-58,48
2024-02-17T12:00:03,0.02,-0.02,9.81,0.4,0.2,-0.1,30,-57,47
2024-02-17T12:00:04,0.01,-0.01,9.81,0.5,-0.1,-0.2,31,-60,46
2024-02-17T12:00:05,0.02,0.0,9.81,0.4,0.0,0.2,32,-59,50
2024-02-17T12:00:06,0.01,-0.02,9.81,0.5,0.1,0.1,30,-58,49
2024-02-17T12:00:07,0.02,-0.01,9.81,0.4,0.2,0.0,31,-57,48
2024-02-17T12:00:08,0.01,0.0,9.81,0.5,-0.1,-0.1,32,-60,47
2024-02-17T12:00:09,0.02,-0.02,9.81,0.4,0.0,-0.2,30,-59,46
2024-02-17T12:00:10,0.01,-0.01,9.81,0.5,0.1,0.2,31,-58,50
2024-02-17T12:00:11,0.02,0.0,9.81,0.4,0.2,0.1,32,-57,49
2024-02-17T12:00:12,0.01,-0.02,9.81,0.5,-0.1,0.0,30,-60,48
2024-02-17T12:00:13,0.02,-0.01,9.81,0.4,0.0,-0.1,31,-59,47
2024-02-17T12:00:14,0.01,0.0,9.81,0.5,0.1,-0.2,32,-58,46
2024-02-17T12:00:15,0.02,-0.02,9.81,0.4,0.2,0.2,30,-57,50
2024-02-17T12:00:16,0.01,-0.01,9.81,0.5,-0.1,0.1,31,-60,49
2024-02-17T12:00:17,0.02,0.0,9.81,0.4,0.0,0.0,32,-59,48
2024-02-17T12:00:18,0.01,-0.02,9.81,0.5,0.1,-0.1,30,-58,47
2024-02-17T12:00:19,0.02,-0.01,9.81,0.4,0.2,-0.2,31,-57,46
2024-02-17T12:00:20,0.01,0.0,9.81,0.5,-0.1,0.2,32,-60,50
2024-02-17T12:00:21,0.02,-0.02,9.81,0.4,0.0,0.1,30,-59,49
2024-02-17T12:00:22,0.01,-0.01,9.81,0.5,0.1,0.0,31,-58,48
2024-02-17T12:00:23,0.02,0.0,9.81,0.4,0.2,-0.1,32,-57,47
2024-02-17T12:00:24,0.01,-0.02,9.81,0.5,-0.1,-0.2,30,-60,46
2024-02-17T12:00:25,0.02,-0.01,9.81,0.4,0.0,0.2,31,-59,50
2024-02-17T12:00:26,0.01,0.0,9.81,0.5,0.1,0.1,32,-58,49
2024-02-17T12:00:27,0.02,-0.02,9.81,0.4,0.2,0.0,30,-57,48
2024-02-17T12:00:28,0.01,-0.01,9.81,0.5,-0.1,-0.1,31,-60,47
2024-02-17T12:00:29,0.02,0.0,9.81,0.4,0.0,-0.2,32,-59,46
2024-02-17T12:00:30,0.01,-0.02,9.81,0.5,0.1,0.2,30,-58,50
2024-02-17T12:00:31,0.02,-0.01,9.81,0.4,0.2,0.1,31,-57,49
